Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Category,Homeless People due to Natural Disaster,Life expectancy at birth (years),Total unemployment rate (% of labour force),EPI,Infant mortality rate,Education Index
Lithuania,2016,152nd,38.1,2.8,3,3.8,3.9,4.2,4.6,2.1,2.9,2.7,2.2,1.9,4,Stable,7.2,7.51,2.64,6.6485,0.87,6.57
United States,2016,153rd,38,3.5,5.8,6.1,2.1,3.7,1.9,2.6,1.2,3.8,3.3,2.4,1.6,Stable,7.75,6.65,4.88,7.3375,3.55,7.6
Czechia,2016,154th,37.6,3.2,5.3,4.8,4,2.1,3,4.7,2,2.2,1,3.2,2.1,Stable,7.34,7,4.08,5.2195,1.94,7.77
United Kingdom,2016,155th,36.7,3.5,5.5,6.4,3.9,4,2.5,2.3,1.5,1.5,1.9,1.6,2,Stable,5.11,8.17,1.18,5.593,4.51,4.92
Malta,2016,156th,34.5,3,2,3.3,3.7,2,3.7,3.3,1.5,3.1,2.4,3.8,2.8,Stable,8.28,6.62,4.12,3.4165,0.72,8.35
Japan,2016,157th,34.3,1.6,2.6,3.1,3.5,1.4,3.3,0.9,1.6,3.2,6.2,3.8,3.2,Stable,7.18,6.82,1.26,8.3505,1.09,7.66
Uruguay,2016,158th,34,4.3,2.7,2.2,3.8,3.3,3.8,0.7,2.7,2.9,3.2,2.1,2.3,Stable,7.79,5.97,1.32,8.2205,0.52,7.17
South Korea,2016,159th,33.7,2.1,3.9,2.7,1.9,2.4,3.7,3.6,1.3,3.2,2.3,1.6,5,Stable,9.37,8.24,0.98,6.0705,0.32,9.39
France,2016,160th,32,3.5,1.9,7,3.7,3.4,2.3,1.5,1.2,1.6,2.2,2.2,1.5,Stable,8.98,8.24,2.38,6.4185,0.3,8.7
Belgium,2016,161st,28.6,2.6,4.4,4.7,4.2,2.1,2,1.4,1.7,1,1.7,2.2,0.7,Stable,7.41,7.47,1.12,2.9535,1.32,7.3
Singapore,2016,162nd,28.1,1,4,2,1.4,3.2,2.7,3.9,1,4.6,2.2,1.1,1,Sustainable,4.84,7.54,1.22,8.481,3.62,4.89
Slovenia,2016,163rd,28,1,2,4.2,3.2,2.8,3.6,2.1,1.3,1,1.7,3.4,1.7,Sustainable,7.98,7.13,2.32,5.4395,0.35,8.33
Portugal,2016,164th,25.3,1,2.5,1.9,4.5,1.9,2.2,1,2.2,1.2,2.1,1.8,2.9,Sustainable,7.35,7.38,0.56,6.928,3.27,6.77
Austria,2016,165th,25,1.6,3.2,4.5,1.6,2.3,1.4,1.1,1.1,0.9,1.3,5,0.9,Sustainable,4.66,5.15,11.14,3.5895,6.85,4.06
Netherlands,2016,166th,24.8,2.1,3.4,4.2,2.1,1.6,2.5,1,0.8,1,1.9,3.2,1,Sustainable,7.85,7.29,0.04,7.3705,1.47,6.91
Germany,2016,167th,24.7,2.3,2.6,4.6,1.6,2.4,2.1,0.7,0.9,0.8,1.4,4.6,0.7,Sustainable,4.5,6.02,1.18,5.688,4.86,3.58
Ireland,2016,168th,20.6,2.7,1.5,1,2.8,1.6,2.8,0.7,1.4,1.8,1.7,1.4,1.2,Sustainable,7.02,7.29,1.94,7.113,1.3,7.02
Luxembourg,2016,169th,20.4,1.3,3.4,2.7,1.2,1.2,1.7,0.7,1.7,1,1.6,3.1,0.8,Sustainable,4.14,7.4,1.12,6.2005,2.46,3.66
Sweden,2016,170th,20.3,2.7,1.8,1.7,1.5,1.5,1.1,0.8,0.9,0.9,1.6,4.9,0.9,Sustainable,6.45,7.62,1.16,6.677,0.46,5.03
New Zealand,2016,171st,20.1,1.4,1.4,3.2,3.2,1.9,2.3,0.6,1,0.8,1.7,1.7,0.9,Sustainable,5.58,6.84,1.38,2.9955,2.63,4.59
Canada,2016,172nd,20,2.8,2.5,2.8,1.5,2.1,1.7,0.7,1,1.4,1.3,1.6,0.7,Sustainable,4.41,6.41,2.06,4.4555,4.29,3.15
Iceland,2016,173rd,19.8,0.7,1.8,1,3.1,0.9,2.5,1,1,1,1.3,1.7,3.8,Sustainable,9.13,8.16,1.12,6.7175,3.05,9.17
Australia,2016,174th,19.7,2.7,1.7,3.3,1.6,1.6,1,1,1.5,1.7,1.2,1.7,0.7,Sustainable,6.86,6.89,1.18,5.7655,1.39,6.22
Denmark,2016,175th,19.5,1.3,1.4,4.3,1.6,1.2,1.9,0.9,0.9,1.7,1.6,2,0.7,Sustainable,6.23,7.31,0.7,3.804,1.8,5.18
Switzerland,2016,176th,18.7,1.1,1,3.3,1.9,1.8,1.7,0.7,1,1.4,1.4,2.7,0.7,Sustainable,6.65,6.79,2.64,6.3795,0.61,7.05
Norway,2016,177th,18,2.1,1.1,3.3,1.9,1,1.3,0.6,0.8,0.9,1.2,2.8,1,Sustainable,4.21,5.54,2.18,6.72,0.22,2.97
Finland,2016,178th,16.9,2.5,1.4,1.2,2.9,0.7,2,0.9,0.7,0.7,1,1.9,1,Sustainable,7.63,7.42,2.14,4.8025,0.73,6.56
